Date,Open,High,Low,Close,Adj Close,Volume
2022-06-16,15832.250000,15863.150391,15335.099609,15360.599609,15360.599609,264700
2022-06-17,15272.650391,15400.400391,15183.400391,15293.500000,15293.500000,342600
2022-06-20,15334.500000,15382.500000,15191.099609,15350.150391,15350.150391,260000
2022-06-21,15455.950195,15707.250000,15419.849609,15638.799805,15638.799805,262800
2022-06-22,15545.650391,15565.400391,15385.950195,15413.299805,15413.299805,220900
2022-06-23,15451.549805,15628.450195,15367.500000,15556.650391,15556.650391,259200
2022-06-24,15657.400391,15749.250000,15619.450195,15699.250000,15699.250000,219600
2022-06-27,15926.200195,15927.450195,15815.500000,15832.049805,15832.049805,210900
2022-06-28,15757.450195,15892.099609,15710.150391,15850.200195,15850.200195,251900
2022-06-29,15701.700195,15861.599609,15687.799805,15799.099609,15799.099609,444900
2022-06-30,15774.500000,15890.000000,15728.849609,15780.250000,15780.250000,306000
2022-07-01,15703.700195,15793.950195,15511.049805,15752.049805,15752.049805,364100
2022-07-04,15710.500000,15852.349609,15661.799805,15835.349609,15835.349609,304300
2022-07-05,15909.150391,16025.750000,15785.450195,15810.849609,15810.849609,254200
2022-07-06,15818.200195,16011.349609,15800.900391,15989.799805,15989.799805,288400
2022-07-07,16113.750000,16150.500000,16045.950195,16132.900391,16132.900391,264600
2022-07-08,16273.650391,16275.500000,16157.900391,16220.599609,16220.599609,281100
2022-07-11,16136.150391,16248.549805,16115.500000,16216.000000,16216.000000,255900
2022-07-12,16126.200195,16158.750000,16031.150391,16058.299805,16058.299805,208600
2022-07-13,16128.200195,16140.000000,15950.150391,15966.650391,15966.650391,233300
2022-07-14,16018.849609,16070.849609,15858.200195,15938.650391,15938.650391,228600
2022-07-15,16010.799805,16066.950195,15927.299805,16049.200195,16049.200195,205800
2022-07-18,16151.400391,16287.950195,16142.200195,16278.500000,16278.500000,227700
2022-07-19,16187.049805,16359.500000,16187.049805,16340.549805,16340.549805,222600
2022-07-20,16562.800781,16588.000000,16490.949219,16520.849609,16520.849609,284400
2022-07-21,16523.550781,16626.949219,16483.900391,16605.250000,16605.250000,243600
2022-07-22,16661.250000,16752.250000,16610.900391,16719.449219,16719.449219,190900
2022-07-25,16662.550781,16706.050781,16564.250000,16631.000000,16631.000000,211400
2022-07-26,16632.900391,16636.099609,16463.300781,16483.849609,16483.849609,208200
2022-07-27,16475.349609,16653.449219,16438.750000,16641.800781,16641.800781,185200
2022-07-28,16774.849609,16947.650391,16746.250000,16929.599609,16929.599609,376300
2022-07-29,17079.500000,17172.800781,17018.150391,17158.250000,17158.250000,436100
2022-08-01,17243.199219,17356.250000,17154.800781,17340.050781,17340.050781,381500
2022-08-02,17310.150391,17390.150391,17215.849609,17345.449219,17345.449219,333600
2022-08-03,17349.250000,17407.500000,17225.849609,17388.150391,17388.150391,285400
2022-08-04,17463.099609,17490.699219,17161.250000,17382.000000,17382.000000,325000
2022-08-05,17423.650391,17474.400391,17348.750000,17397.500000,17397.500000,355300
2022-08-08,17401.500000,17548.800781,17359.750000,17525.099609,17525.099609,257000
2022-08-10,17566.099609,17566.099609,17442.800781,17534.750000,17534.750000,312700
2022-08-11,17711.650391,17719.300781,17631.949219,17659.000000,17659.000000,311200
2022-08-12,17659.650391,17724.650391,17597.849609,17698.150391,17698.150391,303900
2022-08-16,17797.199219,17839.099609,17764.050781,17825.250000,17825.250000,0
2022-08-17,17868.150391,17965.949219,17833.349609,17944.250000,17944.250000,262800
2022-08-18,17898.650391,17968.449219,17852.050781,17956.500000,17956.500000,263900
2022-08-19,17966.550781,17992.199219,17710.750000,17758.449219,17758.449219,295600
2022-08-22,17682.900391,17690.050781,17467.349609,17490.699219,17490.699219,287600
2022-08-23,17357.349609,17625.550781,17345.199219,17577.500000,17577.500000,285600
2022-08-24,17525.449219,17623.650391,17499.250000,17604.949219,17604.949219,262000
2022-08-25,17679.000000,17726.500000,17487.449219,17522.449219,17522.449219,230200
2022-08-26,17619.300781,17685.849609,17519.349609,17558.900391,17558.900391,266600
2022-08-29,17188.650391,17380.150391,17166.199219,17312.900391,17312.900391,244900
2022-08-30,17414.949219,17777.650391,17401.500000,17759.300781,17759.300781,324700
2022-09-01,17485.699219,17695.599609,17468.449219,17542.800781,17542.800781,308500
2022-09-02,17598.400391,17643.849609,17476.449219,17539.449219,17539.449219,256300
2022-09-05,17546.449219,17683.150391,17540.349609,17665.800781,17665.800781,230300
2022-09-06,17695.699219,17764.650391,17587.650391,17655.599609,17655.599609,251200
2022-09-07,17519.400391,17650.750000,17484.300781,17624.400391,17624.400391,354100
2022-09-08,17748.150391,17807.650391,17691.949219,17798.750000,17798.750000,279800
2022-09-09,17923.349609,17925.949219,17786.000000,17833.349609,17833.349609,270300
2022-09-12,17890.849609,17980.550781,17889.150391,17936.349609,17936.349609,228200
2022-09-13,18044.449219,18088.300781,18015.449219,18070.050781,18070.050781,259900
2022-09-14,17771.150391,18091.550781,17771.150391,18003.750000,18003.750000,365900
2022-09-15,18046.349609,18096.150391,17861.500000,17877.400391,17877.400391,289600
2022-09-16,17796.800781,17820.050781,17497.250000,17530.849609,17530.849609,468500
2022-09-19,17540.650391,17667.199219,17429.699219,17622.250000,17622.250000,258300
2022-09-20,17770.400391,17919.300781,17744.400391,17816.250000,17816.250000,263100
2022-09-21,17766.349609,17838.699219,17663.599609,17718.349609,17718.349609,245500
2022-09-22,17609.650391,17722.750000,17532.449219,17629.800781,17629.800781,284100
2022-09-23,17593.849609,17642.150391,17291.650391,17327.349609,17327.349609,390800
2022-09-26,17156.300781,17196.400391,16978.300781,17016.300781,17016.300781,492000
2022-09-27,17110.900391,17176.449219,16942.349609,17007.400391,17007.400391,359900
2022-09-28,16870.550781,17037.599609,16820.400391,16858.599609,16858.599609,323900
2022-09-29,16993.599609,17026.050781,16788.599609,16818.099609,16818.099609,340000
2022-09-30,16798.050781,17187.099609,16747.699219,17094.349609,17094.349609,376100
2022-10-03,17102.099609,17114.650391,16855.550781,16887.349609,16887.349609,278400
2022-10-04,17147.449219,17287.300781,17117.300781,17274.300781,17274.300781,226000
2022-10-06,17379.250000,17428.800781,17315.650391,17331.800781,17331.800781,265500
